State,2000,1990,1980,1970,1960,1950,1940
United States,119600,79100,47200,17000,11900,7354,2938
Alabama,85100,53700,33900,12200,8600,4473,1610
Alaska,144200,94400,76300,22700,9100,3477,
Arizona,121300,80100,54800,16300,11100,5935,1400
Arkansas,72800,46300,31100,10500,6700,4087,1100
California,211500,195500,84500,23100,15100,9564,3527
Colorado,166600,82700,64100,17300,12300,7151,2091
Connecticut,166900,177800,65600,25500,16700,11862,4615
Delaware,130400,100100,44400,17100,12400,9079,4159
"District of Columbia $157,200",123900,68800,21300,15400,14498,7568,
Florida,105500,77100,45100,15000,11800,6612,2218
Georgia,111200,71300,36900,14600,9500,5235,1957
Hawaii,272700,245300,118100,35100,20900,12283,
Idaho,106300,58200,45600,14100,10600,5852,1600
Illinois,130800,80900,52800,19800,14700,8646,3277
Indiana,94300,53900,37200,13800,10200,6226,2406
Iowa,82500,45900,40600,13900,9900,6320,2253
Kansas,83500,52200,37800,12100,9300,5462,1733
Kentucky,86700,50500,34200,12600,8800,5283,2074
Louisiana,85000,58500,43000,14600,10700,5141,1414
Maine,98700,87400,37900,12800,8800,4856,2008
Maryland,146000,116500,58300,18700,11900,8033,3031
Massachusetts,185700,162800,48400,20600,13800,9144,3837
Michigan,115600,60600,39000,17500,12000,7496,2863
Minnesota,122400,74000,53100,18000,12800,7806,3024
Mississippi,71400,45600,31400,11200,7900,4159,1189
Missouri,89900,59800,36700,14400,10900,6399,2392
Montana,99500,56600,46500,14000,10900,5797,1651
Nebraska,88000,50400,38000,12400,9400,5918,2156
Nevada,142000,95700,68700,22400,15200,8859,1987
New Hampshire,133300,129400,48000,16400,10700,6199,2505
New Jersey,170800,162300,60200,23400,15600,10408,4528
New Mexico,108100,70100,45300,13000,10700,5697,656
New York,148700,131600,45600,22500,15300,10152,4389
North Carolina,108300,65800,36000,12800,8000,4901,1802
North Dakota,74400,50800,43900,13000,9800,5396,1626
Ohio,103700,63500,44900,17600,13400,8304,3415
Oklahoma,70700,48100,35600,11100,7900,5228,1293
Oregon,152100,67100,56900,15400,10500,6846,2343
Pennsylvania,97000,69700,39100,13600,10200,6992,3205
Rhode Island,133000,133500,46800,18200,12300,9767,3848
South Carolina,94900,61100,35100,13000,7500,5112,2145
South Dakota,79600,45200,36600,11400,8800,5410,1618
Tennessee,93000,58400,35600,12500,8300,5268,1826
Texas,82500,59600,39100,12000,8800,5805,1693
Utah,146100,68900,57300,16800,12600,7409,2320
Vermont,111500,95500,42200,16400,9700,6277,2836
Virginia,125400,91000,48000,17100,10800,6581,2633
Washington,168300,93400,59900,18500,11700,7169,2359
West Virginia,72800,47900,38500,11300,7600,5473,2350
Wisconsin,112200,62500,48600,17300,12600,7927,3232
Wyoming,96600,61600,59800,15300,12300,6811,2174
